bintime	num	type	lat	lon	alt	ew_v	ns_v	alt_rate	nacp	nacv	nic	sil	heading	ptoa	vtoa	utoa	range	bearing	mode_s
43260	1	0	0.586294809	-1.416231263	6103.963415	107.8880639	-0.74601788	0	7	1	4	1	-0.000647168	[]	[]	[]	[]	[]	[]
43260	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18700.55889	0.106237144	0
43260.02	2	1	0.586137255	-1.41275326	5792.682927	101.873802	11.24185664	0	7	1	4	1	[]	5537266	5537238	5537122	[]	[]	[]
43260.823	2	1	0.586137255	-1.41275326	5792.682927	108.6070508	-0.133396667	0	7	1	4	1	[]	5537266	5537372	5537122	[]	[]	[]
43261	1	0	0.586294816	-1.416211813	6103.963415	91.19445899	2.850845957	0	7	1	4	1	-0.000657989	[]	[]	[]	[]	[]	[]
43261	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18694.1343	0.10339519	0
43261.027	2	1	0.586137471	-1.412734387	5792.682927	108.6070508	-0.133396667	0	7	1	4	1	[]	5537394	5537372	5537122	[]	[]	[]
43261.467	2	1	0.586137471	-1.412726398	5792.682927	108.6070508	-0.133396667	0	7	1	4	1	[]	5537457	5537372	5537122	[]	[]	[]
43262	1	0	0.586294824	-1.416192362	6103.658537	101.9651158	1.853162587	0	7	1	4	1	-0.000668636	[]	[]	[]	[]	[]	[]
43262	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18710.55969	0.119520147	0
43263	1	0	0.586294832	-1.416172931	6103.353659	106.4382064	-5.788405566	0	7	1	4	1	-0.000679457	[]	[]	[]	[]	[]	[]
43263	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18707.02792	0.129924561	0
43263.817	2	1	0.586136659	-1.412679459	5792.682927	108.6070508	-0.133396667	0	7	1	4	1	[]	5537762	5537372	5537122	[]	[]	[]
43264	1	0	0.586294824	-1.41615348	6103.04878	103.4031411	5.963959581	0	7	1	4	1	-0.000690278	[]	[]	[]	[]	[]	[]
43264	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18709.69851	0.100570968	0
43264.323	2	1	0.586137471	-1.41267147	5792.682927	108.6070508	-0.133396667	0	7	1	4	1	[]	5537824	5537372	5537761	[]	[]	[]
43265	1	0	0.586294816	-1.416134049	6103.04878	98.1738693	4.727881318	0	7	1	4	1	-0.000701099	[]	[]	[]	[]	[]	[]
43265	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18692.1471	0.1887971	0
43265.477	2	1	0.586137471	-1.41267147	5792.682927	92.13578862	-2.157218025	0	7	1	4	1	[]	5537824	5537968	5537761	[]	[]	[]
43266	1	0	0.586294824	-1.416114598	6102.743902	106.7204304	-1.693160214	0	7	1	4	1	-0.00071192	[]	[]	[]	[]	[]	[]
43266	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18698.64022	0.105856244	0
43267	1	0	0.586294816	-1.416095167	6102.743902	97.46928679	2.024572241	0	7	1	4	1	-0.000722566	[]	[]	[]	[]	[]	[]
43267	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18690.7081	0.181443329	0
43267.653	2	1	0.586137471	-1.41267147	5792.682927	89.97965093	7.967816705	0	7	1	4	1	[]	5537824	5538246	5538079	[]	[]	[]
43267.703	2	1	0.586138853	-1.412607493	5792.682927	89.97965093	7.967816705	0	7	1	4	1	[]	5538257	5538246	5538079	[]	[]	[]
43268	1	0	0.586294824	-1.416075716	6102.439024	105.412868	-2.542881259	0	7	1	4	1	-0.000733387	[]	[]	[]	[]	[]	[]
43268	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18705.3389	0.080249297	0
43268.117	2	1	0.586137255	-1.41259771	5792.682927	89.97965093	7.967816705	0	7	1	4	1	[]	5538304	5538246	5538079	[]	[]	[]
43268.647	2	1	0.586137255	-1.41259771	5792.682927	104.2056738	2.420378767	0	7	1	4	1	[]	5538304	5538374	5538310	[]	[]	[]
43269	1	0	0.586294816	-1.416056284	6102.134146	97.51671853	-2.785315566	0	7	1	4	1	-0.000744208	[]	[]	[]	[]	[]	[]
43269	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18695.76962	0.169517233	0
43270	1	0	0.586294809	-1.416036853	6102.134146	108.0296389	4.795730308	0	7	1	4	1	-0.000755029	[]	[]	[]	[]	[]	[]
43270	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18693.36757	6.27865829	0
43270.077	2	1	0.586137255	-1.41259771	5792.682927	94.88554325	-5.388219578	0	7	1	4	1	[]	5538304	5538557	5538310	[]	[]	[]
43270.103	2	1	0.586137255	-1.412559556	5792.682927	94.88554325	-5.388219578	0	7	1	4	1	[]	5538560	5538557	5538310	[]	[]	[]
43270.547	2	1	0.586137255	-1.41255173	5792.682927	94.88554325	-5.388219578	0	7	1	4	1	[]	5538609	5538557	5538310	[]	[]	[]
43270.567	2	1	0.586137255	-1.41255173	5792.682927	94.88554325	-5.388219578	0	7	1	4	1	[]	5538609	5538619	5538310	[]	[]	[]
43271	1	0	0.586294816	-1.416017421	6101.829268	108.7433271	2.823940536	0	7	1	4	1	-0.00076585	[]	[]	[]	[]	[]	[]
43271	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18692.96198	6.276472439	0
43272	1	0	0.586294824	-1.415997989	6101.52439	109.2752621	5.277598685	0	7	1	4	1	-0.000776497	[]	[]	[]	[]	[]	[]
43272	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18697.30678	0.116089214	0
43272.03	2	1	0.586138054	-1.412520424	5792.682927	94.88554325	-5.388219578	0	7	1	4	1	[]	5538802	5538619	5538727	[]	[]	[]
43273	1	0	0.586294832	-1.415978539	6101.52439	103.2878542	10.55464691	0	7	1	4	1	-0.000787318	[]	[]	[]	[]	[]	[]
43273	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18708.06319	6.171322007	0
43273.597	2	1	0.586136456	-1.412489118	5792.682927	94.88554325	-5.388219578	0	7	1	4	1	[]	5539009	5538619	5538727	[]	[]	[]
43274	1	0	0.58629484	-1.415959107	6101.52439	98.41961919	0.11387254	0	7	1	4	1	-0.000798139	[]	[]	[]	[]	[]	[]
43274	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18704.18696	0.131628718	0
43275	1	0	0.586294848	-1.415939675	6101.52439	98.64515144	3.828010728	0	7	1	4	1	-0.00080896	[]	[]	[]	[]	[]	[]
43275	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18680.78508	0.069695657	0
43276	1	0	0.586294856	-1.415920225	6101.219512	102.0976366	-13.01537147	0	7	1	4	1	-0.000819781	[]	[]	[]	[]	[]	[]
